Time,X,Y,Z,Yaw,FDHeight
10:28:28.395,0.000000,0.000000,0.000000,0,0.0
10:28:28.445,0.000000,0.000000,0.000000,0,0.0
10:28:28.496,0.000000,0.000000,0.000000,0,0.0
10:28:28.547,0.000000,0.000000,-0.005142,0,0.0
10:28:28.597,0.000000,0.000000,-0.005142,0,0.0
10:28:28.648,0.000000,0.000000,-0.005142,0,0.0
10:28:28.698,0.011935,0.000000,-0.005141,0,0.0
10:28:28.748,0.011935,0.000000,-0.005141,0,0.0
10:28:28.799,0.011935,0.000000,-0.005141,0,0.0
10:28:28.849,0.011935,0.000000,-0.005141,0,0.0
10:28:28.899,0.011935,0.016003,-0.005141,0,0.0
10:28:28.950,0.011935,0.016003,-0.005141,0,0.0
10:28:29.000,0.011935,0.016003,-0.005141,0,0.0
10:28:29.050,0.011935,0.016003,-0.005141,0,0.0
10:28:29.100,0.011935,0.016003,-0.005141,0,0.0
10:28:29.151,0.011935,0.016003,-0.005141,0,0.0
10:28:29.201,0.011935,0.016003,-0.005141,0,0.0
10:28:29.252,0.011935,0.016003,-0.005141,0,0.0
10:28:29.302,0.011935,0.016003,-0.005141,0,0.0
10:28:29.353,0.011936,0.016003,-0.005141,0,0.0
10:28:29.403,0.011936,0.016003,-0.005141,0,0.0
10:28:29.454,0.011936,0.016003,-0.005141,0,0.0
10:28:29.504,0.011936,0.016004,-0.005141,0,0.0
10:28:29.554,0.011936,0.016004,-0.005141,0,0.0
10:28:29.605,0.011936,0.016004,-0.005141,0,0.0
10:28:29.655,0.011936,0.016004,-0.005141,0,0.0
10:28:29.705,0.011936,0.016004,-0.005141,0,0.0
10:28:29.756,0.011936,0.016004,-0.005141,0,0.0
10:28:29.806,0.011936,0.016004,-0.005141,0,0.0
10:28:29.856,0.011936,0.016004,-0.005141,0,0.0
10:28:29.907,0.011936,0.016004,-0.005141,0,0.0
10:28:29.957,0.011936,0.016004,-0.005141,0,0.0
10:28:30.008,0.011936,0.016004,-0.005141,0,0.0
10:28:30.058,0.011936,0.016004,-0.005141,0,0.0
10:28:30.109,0.011936,0.016004,-0.005141,0,0.0
10:28:30.159,0.011936,0.016004,-0.005141,0,0.0
10:28:30.209,0.011936,0.016004,-0.005141,0,0.0
10:28:30.259,0.011936,0.016004,-0.005141,0,0.0
10:28:30.310,0.011936,0.016004,-0.005141,0,0.0
