Date,X,Y,Z,Yaw
10:18:27.969,0.000000,0.000000,0.000000,0
10:18:28.019,0.000000,0.000000,0.000000,0
10:18:28.069,0.000000,0.000000,0.000000,0
10:18:28.120,0.000000,0.000000,0.000000,0
10:18:28.170,0.000000,0.000000,0.000000,0
10:18:28.220,0.000000,0.000000,0.000000,0
10:18:28.270,0.000000,0.000000,0.000000,0
10:18:28.321,0.000000,0.000000,0.000000,0
10:18:28.372,0.000000,0.000000,0.000000,0
10:18:28.429,0.000000,0.000000,0.000000,0
10:18:28.479,0.000000,0.015995,-0.005151,0
10:18:28.530,0.000000,0.015995,-0.005151,0
10:18:28.580,0.000000,0.015995,-0.005151,0
10:18:28.631,0.000000,0.015995,-0.005151,0
10:18:28.681,0.011944,0.015995,-0.005151,0
10:18:28.731,0.011944,0.015995,-0.005151,0
10:18:28.781,0.011944,0.015995,-0.005151,0
10:18:28.831,0.011944,0.015995,-0.005151,0
10:18:28.881,0.011944,0.015993,-0.005151,0
10:18:28.931,0.011944,0.015993,-0.005151,0
10:18:28.982,0.011944,0.015993,-0.005151,0
10:18:29.033,0.011944,0.015993,-0.005151,0
10:18:29.083,0.011944,0.015993,-0.005151,0
10:18:29.134,0.011947,0.015992,-0.005150,0
10:18:29.184,0.011947,0.015992,-0.005150,0
10:18:29.234,0.011947,0.015992,-0.005150,0
10:18:29.284,0.011947,0.015992,-0.005150,0
10:18:29.334,0.011947,0.015992,-0.005150,0
10:18:29.385,0.011947,0.015992,-0.005150,0
10:18:29.435,0.011947,0.015992,-0.005150,0
10:18:29.485,0.011949,0.015992,-0.005149,0
10:18:29.536,0.011949,0.015992,-0.005149,0
10:18:29.586,0.011949,0.015992,-0.005149,0
10:18:29.637,0.011949,0.015992,-0.005149,0
10:18:29.688,0.011949,0.015992,-0.005146,0
10:18:29.738,0.011949,0.015992,-0.005146,0
10:18:29.788,0.011949,0.015992,-0.005146,0
10:18:29.838,0.011949,0.015992,-0.005146,0
10:18:29.889,0.011949,0.015992,-0.005147,0
10:18:29.939,0.011949,0.015992,-0.005147,0
10:18:29.989,0.011949,0.015992,-0.005147,0
10:18:30.040,0.011949,0.015992,-0.005147,0
